molecular_type,mir_135b_tumor,mir_135b_plasma,mir_145_tumor,mir_145_plasma,miR_195b_tumor,miR_195b_plasma,mir_331_tumor,mir_331_plasma
luminal_a,1.2813,1.1654,0.6608,0.7866,1.934,2.5354,1.6869,1.5078
luminal_a,1.2144,1.1635,0.661,0.78,1.8148,2.3792,1.2704,1.1472
luminal_a,1.2487,1.1571,0.6288,0.7996,1.8956,2.485,1.324,1.2051
luminal_a,1.2487,1.1573,0.6282,0.7884,1.6099,2.4385,1.324,1.2051
luminal_a,1.2487,1.1573,0.6284,0.7706,1.5596,2.4385,1.324,1.2051
luminal_a,1.258,1.1675,0.646,0.7544,1.9142,2.5094,1.3385,1.2156
luminal_a,1.2188,1.1571,0.6459,0.764,1.8148,2.3792,1.2774,1.1526
luminal_a,1.2752,1.1698,0.6464,0.7444,1.8085,2.3709,1.3653,1.2427
luminal_a,1.2891,1.1588,0.6464,0.775,1.8164,2.3813,1.3871,1.2343
luminal_a,1.2188,1.1649,0.684,0.7711,1.8148,2.3792,1.2774,1.1526
luminal_a,1.2188,1.1579,0.6853,0.7711,1.8383,2.3858,1.2774,1.1526
luminal_a,1.2188,1.1656,0.6836,0.7711,1.8298,2.3858,1.2774,1.1526
luminal_a,1.2148,1.1689,0.6229,0.7776,1.9972,2.5354,1.2711,1.1478
luminal_a,1.2148,1.1697,0.7052,0.7767,1.934,2.5526,1.2711,1.1478
luminal_a,1.2487,1.1666,0.7029,0.7773,1.8956,2.485,1.324,1.2051
luminal_a,1.213,1.1688,0.7052,0.9789,1.9372,2.5395,1.2682,1.1516
luminal_a,1.2191,1.2957,0.7014,0.9761,1.934,2.5354,1.2778,1.1529
luminal_a,1.2191,1.2746,0.6998,0.976,1.9372,2.5326,1.2778,1.1529
luminal_b,1.217,1.2351,0.7006,0.9759,1.9364,2.5385,1.2746,1.151
luminal_b,1.2434,1.2559,0.6996,0.7881,1.9316,2.5322,0.8477,0.4976
luminal_b,1.2148,1.2012,0.6645,0.9304,1.9974,2.5301,2.3072,2.0991
luminal_b,1.2148,1.1734,0.6645,0.9782,1.93,2.5112,1.2711,1.1478
