molecular_type,mir_331_tumor
LUMINAL A,1.268
LUMINAL A,1.270
LUMINAL A,1.271
LUMINAL A,1.271
LUMINAL A,1.277
LUMINAL A,1.277
LUMINAL A,1.277
LUMINAL A,1.277
LUMINAL A,1.278
LUMINAL A,1.278
LUMINAL A,1.324
LUMINAL A,1.324
LUMINAL A,1.324
LUMINAL A,1.324
LUMINAL A,1.339
LUMINAL A,1.365
LUMINAL A,1.387
LUMINAL A,1.687
LUMINAL B,0.848
LUMINAL B,1.271
LUMINAL B,1.271
LUMINAL B,1.271
LUMINAL B,1.271
LUMINAL B,1.272
LUMINAL B,1.275
LUMINAL B,1.324
LUMINAL B,1.356
LUMINAL B,1.356
LUMINAL B,1.440
LUMINAL B,1.446
LUMINAL B,1.447
LUMINAL B,1.447
LUMINAL B,1.448
LUMINAL B,1.448
LUMINAL B,1.453
LUMINAL B,1.457
LUMINAL B,1.457
LUMINAL B,1.457
LUMINAL B,1.457
LUMINAL B,1.457
LUMINAL B,1.485
LUMINAL B,1.512
LUMINAL B,1.794
LUMINAL B,1.871
LUMINAL B,2.173
LUMINAL B,2.192
LUMINAL B,2.192
LUMINAL B,2.192
LUMINAL B,2.307
LUMINAL B,2.347
LUMINAL B,2.367
LUMINAL B,2.371
LUMINAL B,2.371
LUMINAL B,2.376
LUMINAL B,2.377
LUMINAL B,2.383
LUMINAL B,2.383
LUMINAL B HIBRIDO HER2,1.252
LUMINAL B HIBRIDO HER2,1.252
LUMINAL B HIBRIDO HER2,1.252
LUMINAL B HIBRIDO HER2,1.252
LUMINAL B HIBRIDO HER2,1.252
LUMINAL B HIBRIDO HER2,1.252
LUMINAL B HIBRIDO HER2,1.252
LUMINAL B HIBRIDO HER2,1.256
LUMINAL B HIBRIDO HER2,1.256
LUMINAL B HIBRIDO HER2,1.256
LUMINAL B HIBRIDO HER2,1.256
LUMINAL B HIBRIDO HER2,1.256
LUMINAL B HIBRIDO HER2,1.256
LUMINAL B HIBRIDO HER2,1.256
LUMINAL B HIBRIDO HER2,1.259
LUMINAL B HIBRIDO HER2,1.266
LUMINAL B HIBRIDO HER2,1.266
LUMINAL B HIBRIDO HER2,1.268
LUMINAL B HIBRIDO HER2,1.268
LUMINAL B HIBRIDO HER2,1.268
LUMINAL B HIBRIDO HER2,1.325
LUMINAL B HIBRIDO HER2,1.363
LUMINAL B HIBRIDO HER2,2.282
LUMINAL B HIBRIDO HER2,2.282
LUMINAL B HIBRIDO HER2,2.287
LUMINAL B HIBRIDO HER2,2.303
LUMINAL B HIBRIDO HER2,2.314
LUMINAL B HIBRIDO HER2,2.316
LUMINAL B HIBRIDO HER2,2.331
LUMINAL B HIBRIDO HER2,2.331
LUMINAL B HIBRIDO HER2,2.339
LUMINAL B HIBRIDO HER2,2.352
LUMINAL B HIBRIDO HER2,2.353
LUMINAL B HIBRIDO HER2,2.452
LUMINAL B HIBRIDO HER2,2.452
LUMINAL B HIBRIDO HER2,2.452
LUMINAL B HIBRIDO HER2,2.452
LUMINAL B HIBRIDO HER2,2.452
LUMINAL B HIBRIDO HER2,2.928
LUMINAL B HIBRIDO HER2,2.931
LUMINAL B HIBRIDO HER2,3.049
LUMINAL B HIBRIDO HER2,3.053
LUMINAL B HIBRIDO HER2,3.065
LUMINAL B HIBRIDO HER2,3.076
LUMINAL B HIBRIDO HER2,3.197
HER SUPER EXPRESSO,1.252
HER SUPER EXPRESSO,1.687
HER SUPER EXPRESSO,1.687
HER SUPER EXPRESSO,1.687
HER SUPER EXPRESSO,1.691
HER SUPER EXPRESSO,1.692
HER SUPER EXPRESSO,1.692
HER SUPER EXPRESSO,1.695
HER SUPER EXPRESSO,1.696
HER SUPER EXPRESSO,1.696
HER SUPER EXPRESSO,1.698
HER SUPER EXPRESSO,1.698
HER SUPER EXPRESSO,1.698
HER SUPER EXPRESSO,1.698
HER SUPER EXPRESSO,1.699
HER SUPER EXPRESSO,1.700
HER SUPER EXPRESSO,1.701
HER SUPER EXPRESSO,1.703
HER SUPER EXPRESSO,1.703
HER SUPER EXPRESSO,1.805
HER SUPER EXPRESSO,1.840
HER SUPER EXPRESSO,2.166
HER SUPER EXPRESSO,2.234
HER SUPER EXPRESSO,2.250
HER SUPER EXPRESSO,2.319
HER SUPER EXPRESSO,2.328
HER SUPER EXPRESSO,2.329
HER SUPER EXPRESSO,2.329
HER SUPER EXPRESSO,2.330
HER SUPER EXPRESSO,2.352
HER SUPER EXPRESSO,2.386
TRIPLO NEGATIVO,1.250
TRIPLO NEGATIVO,1.257
TRIPLO NEGATIVO,1.257
TRIPLO NEGATIVO,1.262
TRIPLO NEGATIVO,1.262
TRIPLO NEGATIVO,1.262
TRIPLO NEGATIVO,1.262
TRIPLO NEGATIVO,1.262
TRIPLO NEGATIVO,1.263
TRIPLO NEGATIVO,1.263
TRIPLO NEGATIVO,1.264
TRIPLO NEGATIVO,1.279
TRIPLO NEGATIVO,1.280
TRIPLO NEGATIVO,1.280
TRIPLO NEGATIVO,1.282
TRIPLO NEGATIVO,1.282
TRIPLO NEGATIVO,1.329
TRIPLO NEGATIVO,1.329
TRIPLO NEGATIVO,1.330
TRIPLO NEGATIVO,1.330
TRIPLO NEGATIVO,1.331
TRIPLO NEGATIVO,1.332
TRIPLO NEGATIVO,1.332
TRIPLO NEGATIVO,1.333
TRIPLO NEGATIVO,1.335
TRIPLO NEGATIVO,1.340
TRIPLO NEGATIVO,1.403
TRIPLO NEGATIVO,2.047
TRIPLO NEGATIVO,2.080
TRIPLO NEGATIVO,2.094
TRIPLO NEGATIVO,2.153
TRIPLO NEGATIVO,2.164
TRIPLO NEGATIVO,2.165
TRIPLO NEGATIVO,2.199
TRIPLO NEGATIVO,2.286
TRIPLO NEGATIVO,2.308
TRIPLO NEGATIVO,2.315
TRIPLO NEGATIVO,2.374
TRIPLO NEGATIVO,2.385
TRIPLO NEGATIVO,2.448
TRIPLO NEGATIVO,2.452
TRIPLO NEGATIVO,2.452
TRIPLO NEGATIVO,2.452
TRIPLO NEGATIVO,2.461
TRIPLO NEGATIVO,2.462
TRIPLO NEGATIVO,2.462
TRIPLO NEGATIVO,2.462
TRIPLO NEGATIVO,2.462
TRIPLO NEGATIVO,2.462
TRIPLO NEGATIVO,2.462
TRIPLO NEGATIVO,2.462
TRIPLO NEGATIVO,2.463
TRIPLO NEGATIVO,2.463
TRIPLO NEGATIVO,2.463
TRIPLO NEGATIVO,2.480
TRIPLO NEGATIVO,2.480
TRIPLO NEGATIVO,2.529
TRIPLO NEGATIVO,2.531
TRIPLO NEGATIVO,2.539
TRIPLO NEGATIVO,2.541
TRIPLO NEGATIVO,2.543
TRIPLO NEGATIVO,2.543
TRIPLO NEGATIVO,3.294
